"","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun"
"2832",3,NA,7,9,7,9,9,2,10,7,7,7,7,2,1,NA,2,3,3,2,NA,2,1,1,2,2,2,2,1,3,2,5,2,2,1,1
"2833",4,80,1,2,1,3,3,2,5,5,4,7,5,6,1,NA,3,5,3,3,2,2,2,3,5,4,4,3,1,4,4,3,3,3,1,5
"2834",3,NA,3,5,3,NA,NA,NA,NA,9,6,8,3,2,1,NA,4,6,3,2,4,NA,NA,2,6,3,2,3,NA,NA,2,2,NA,NA,NA,NA
"2835",1,NA,9,9,9,9,9,4,7,10,10,10,2,1,1,NA,NA,6,3,5,3,3,3,3,4,3,3,5,3,5,2,4,2,4,1,4
"2836",1,NA,9,9,5,9,9,NA,6,10,7,4,5,5,NA,NA,3,4,2,1,1,1,3,4,NA,2,2,2,2,3,2,2,2,2,2,5
"2837",5,NA,0,2,2,0,NA,1,3,9,1,3,5,5,NA,NA,4,5,6,1,1,3,4,3,1,2,3,4,3,3,3,3,2,2,1,3
"2838",2,NA,0,3,1,0,2,1,10,10,8,4,5,5,1,NA,6,3,2,2,3,2,3,2,3,6,3,NA,1,6,4,2,2,2,2,4
"2839",5,360,5,5,5,5,5,NA,1,10,8,5,6,6,NA,NA,4,5,3,4,1,1,1,1,5,4,1,2,1,5,2,3,1,2,2,5
"2840",2,NA,3,5,1,1,4,2,7,8,5,1,7,7,55,NA,5,5,3,3,3,3,3,3,3,2,3,3,2,5,3,3,3,3,5,3
"2841",5,120,0,0,0,0,0,NA,0,6,0,7,5,5,1,NA,2,NA,1,1,1,4,4,2,4,1,1,1,1,NA,1,1,1,NA,1,4
"2842",1,NA,3,4,3,5,3,3,5,7,5,0,7,7,55,NA,6,6,4,5,3,3,4,3,5,5,4,3,3,6,4,4,3,3,3,3
"2843",5,60,2,3,2,5,5,2,4,6,8,8,3,2,1,NA,3,4,2,3,1,3,3,3,6,4,2,3,3,4,3,2,1,1,1,5
"2844",2,NA,3,7,1,1,0,2,3,10,4,5,4,4,2,NA,4,4,2,2,2,3,2,3,4,4,2,3,1,3,1,1,1,1,1,3
"2845",2,NA,7,7,5,6,8,NA,7,10,NA,7,3,3,1,NA,4,5,3,3,1,2,4,1,5,2,3,NA,2,6,2,5,1,2,1,5
"2846",1,NA,5,5,5,5,NA,NA,NA,9,NA,5,5,6,1,NA,4,5,2,2,3,3,3,3,4,4,3,4,4,6,2,5,2,2,3,4
"2847",1,NA,3,3,1,3,5,1,10,10,9,8,3,3,1,NA,6,1,1,2,3,3,2,2,4,5,1,2,1,5,2,2,2,2,2,4
"2848",5,120,1,1,1,1,1,NA,1,9,7,5,6,6,NA,NA,2,6,3,3,3,2,1,2,3,3,1,2,1,5,1,3,1,1,3,5
"2849",2,NA,2,5,2,5,5,4,7,8,7,4,5,5,1,NA,3,4,2,2,2,2,3,3,2,2,3,2,NA,2,3,3,2,2,3,2
"2850",1,NA,1,1,1,1,2,2,7,8,6,2,7,7,2,NA,6,6,3,3,2,6,6,2,6,2,3,3,3,6,2,2,2,2,2,6
"2851",5,720,5,5,1,1,NA,2,NA,10,NA,7,3,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,4,2,3,NA,2,5,2,NA,1,1,1,NA
"2852",3,NA,1,3,1,0,0,3,3,10,1,7,4,3,33,NA,4,3,2,3,3,3,4,3,4,3,2,3,2,4,2,2,2,2,1,4
"2853",5,60,1,1,1,1,1,5,1,9,3,5,6,6,2,NA,4,5,5,4,4,5,4,5,3,4,5,5,4,4,4,4,5,4,4,5
"2854",5,90,1,4,1,NA,NA,NA,NA,10,NA,4,5,NA,1,NA,2,4,2,2,2,3,3,3,2,2,NA,2,2,4,3,5,2,2,3,2
"2855",5,120,3,3,3,3,3,5,3,8,4,7,5,5,1,NA,4,4,3,4,3,3,3,3,4,4,3,4,3,4,3,4,3,3,3,4
"2856",5,60,0,0,2,2,4,3,5,7,4,4,6,7,1,NA,2,4,1,2,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1
"2857",1,NA,0,0,0,0,0,3,NA,10,10,2,5,5,1,NA,2,1,3,1,1,1,1,1,2,2,1,1,1,4,3,3,2,1,1,2
"2858",5,600,2,5,1,5,5,1,9,6,6,2,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2859",2,NA,2,2,0,NA,NA,2,9,10,0,0,7,NA,2,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,2,2,3,5
"2860",5,180,7,5,1,7,7,2,7,10,3,7,4,4,1,NA,3,5,2,3,2,3,3,2,5,4,2,3,2,5,2,5,2,2,NA,5
"2861",5,300,0,0,0,0,0,5,NA,9,8,3,5,6,1,NA,NA,4,4,4,2,NA,5,3,3,3,4,4,NA,3,4,4,2,3,3,2
"2862",1,NA,2,6,2,7,7,2,7,8,6,2,6,6,1,NA,3,3,2,4,2,3,2,3,3,2,2,2,2,4,3,3,2,2,3,4
"2863",5,300,5,5,5,5,5,3,5,5,5,2,5,6,NA,NA,3,3,2,2,2,2,3,3,4,2,2,2,2,5,2,4,2,2,2,4
"2864",1,NA,2,2,3,5,5,1,5,10,2,5,6,6,1,NA,3,5,5,2,3,2,2,3,5,4,3,4,2,6,2,4,2,2,2,6
"2865",5,150,2,2,2,2,2,2,5,6,6,5,5,4,1,NA,3,4,3,3,2,3,3,5,4,3,3,2,3,4,4,3,2,2,2,4
"2866",5,720,2,6,2,2,0,2,10,8,2,0,6,7,1,NA,3,1,1,1,1,5,2,2,2,2,2,2,1,3,1,2,1,1,3,2
"2867",5,30,2,3,2,3,3,4,10,10,10,NA,NA,NA,1,NA,2,5,NA,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,NA
"2868",1,NA,0,0,0,0,5,3,5,10,6,5,5,7,1,NA,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3
"2869",3,NA,3,3,3,3,3,3,5,3,3,3,6,6,NA,NA,2,5,2,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1
"2870",5,180,4,4,2,2,3,3,6,5,6,5,5,6,2,NA,3,4,2,3,1,2,3,4,2,3,2,1,2,5,3,3,2,3,3,3
"2871",1,NA,0,0,3,0,4,5,0,10,3,5,5,7,1,NA,2,3,1,1,1,1,1,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,4
"2872",4,120,0,0,0,0,0,2,5,6,5,3,6,6,2,NA,3,4,2,3,1,3,4,1,2,3,4,1,2,3,2,3,4,3,2,2
"2873",2,NA,4,4,4,4,4,3,5,8,7,3,2,2,1,NA,4,4,3,4,4,5,5,4,4,2,1,1,3,4,5,4,2,2,2,3
"2874",1,NA,0,0,0,0,0,5,NA,10,9,8,3,3,1,NA,3,NA,1,2,1,2,3,3,3,4,3,4,1,5,3,3,2,1,1,1
"2875",1,NA,4,5,3,5,5,2,2,7,6,2,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2876",5,540,3,3,2,7,7,3,7,9,7,6,5,4,1,NA,2,4,1,1,2,3,3,5,3,2,2,1,1,3,3,3,1,1,2,3
"2877",5,230,9,9,8,7,6,2,5,5,6,6,5,5,1,NA,1,2,1,2,2,1,2,3,1,2,3,2,1,2,2,1,1,1,1,2
"2878",5,30,0,0,0,4,7,2,8,5,5,3,4,6,1,NA,2,4,3,3,2,5,3,3,4,3,2,3,2,4,3,3,1,2,1,3
"2879",5,120,0,0,0,0,0,3,9,10,0,6,5,1,2,NA,2,5,1,1,1,2,2,5,2,3,1,3,1,3,1,3,1,1,1,1
"2880",3,NA,4,4,6,5,6,NA,5,7,8,6,5,4,1,NA,3,4,3,4,3,2,3,3,2,2,3,2,3,3,4,4,5,3,3,3
"2881",2,NA,0,1,0,NA,NA,NA,NA,9,5,0,7,7,1,NA,3,3,2,3,5,4,2,4,4,3,NA,3,2,5,3,4,1,2,6,4
"2882",1,NA,5,5,4,NA,NA,NA,NA,7,NA,8,7,1,NA,NA,NA,5,NA,NA,3,NA,NA,2,6,2,3,NA,3,6,NA,NA,3,NA,NA,6
"2883",1,NA,2,4,1,4,5,3,2,6,4,6,5,6,55,NA,5,5,2,3,1,5,5,4,5,2,2,4,1,6,2,2,1,2,1,6
"2884",1,NA,0,0,0,0,0,5,5,10,5,0,7,7,55,NA,4,NA,3,3,3,3,4,2,5,2,3,3,3,5,2,2,3,1,3,6
"2885",4,30,5,9,5,10,10,3,9,9,8,1,7,7,1,NA,2,5,4,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2
"2886",1,NA,4,5,2,NA,NA,3,NA,7,5,6,5,5,55,NA,5,5,3,4,2,4,3,3,4,2,3,5,2,6,2,3,2,2,2,5
"2887",5,NA,4,8,2,2,NA,NA,NA,10,NA,8,4,NA,NA,NA,5,5,4,5,3,4,3,4,4,3,3,4,2,4,4,5,4,2,1,5
"2888",1,NA,3,5,3,3,3,4,6,8,3,4,5,4,55,NA,6,6,4,2,2,2,3,3,6,6,2,3,2,6,2,2,2,3,1,5
"2889",1,NA,0,0,0,3,3,2,7,10,10,3,6,6,1,NA,5,5,2,2,2,4,3,2,4,3,2,3,2,4,2,2,2,2,2,3
"2890",5,80,4,3,2,2,2,3,3,6,5,2,6,6,1,NA,3,3,5,6,3,3,3,6,4,4,3,2,2,4,4,3,3,2,3,3
"2891",5,20,0,1,0,2,5,1,10,10,9,0,7,NA,44,NA,3,6,4,1,3,4,2,4,1,1,3,3,2,3,5,2,3,2,5,1
"2892",5,60,0,3,2,2,1,2,5,9,3,5,5,6,1,NA,5,5,NA,2,NA,2,3,3,6,3,2,5,1,5,2,6,2,1,1,6
"2893",1,NA,3,4,0,NA,NA,5,NA,10,0,8,5,NA,55,NA,5,5,3,5,1,2,3,2,5,5,5,5,2,5,NA,NA,1,1,1,6
"2894",5,150,2,4,3,3,4,2,7,7,4,5,5,4,1,NA,5,5,4,3,3,4,3,3,4,4,4,3,2,4,3,3,3,2,2,3
"2895",5,60,3,5,3,6,7,3,7,9,NA,3,5,7,1,NA,4,5,2,2,3,4,4,3,4,3,2,3,2,5,2,3,2,2,2,5
"2896",5,150,0,0,0,0,0,NA,0,10,0,0,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
"2897",1,NA,0,0,0,0,NA,NA,NA,10,3,8,5,1,55,NA,NA,6,1,2,3,NA,NA,3,NA,5,2,2,2,6,NA,NA,2,2,2,NA
"2898",1,NA,7,8,6,7,6,3,5,8,8,7,6,6,NA,NA,3,6,2,2,3,4,2,2,1,1,4,3,2,2,3,3,4,4,4,3
"2899",4,NA,0,5,0,NA,NA,1,NA,9,NA,3,6,6,1,NA,2,NA,3,1,1,3,3,3,5,3,3,2,1,6,3,1,1,1,3,5
"2900",5,120,2,4,NA,6,4,5,6,10,5,10,2,1,65,NA,1,3,1,1,1,2,1,3,5,1,1,1,1,2,NA,NA,NA,NA,NA,2
"2901",5,NA,3,5,1,0,1,NA,2,6,4,5,5,4,44,NA,5,5,4,4,1,2,2,3,3,3,2,2,1,5,2,2,2,2,2,3
"2902",5,180,4,4,2,4,3,2,7,7,7,5,5,NA,1,NA,3,3,3,2,3,3,4,5,2,3,3,2,3,3,NA,2,3,3,3,4
"2903",1,NA,1,1,1,1,1,5,8,8,5,10,1,1,1,NA,3,6,5,4,1,6,2,1,6,4,1,2,3,5,1,2,2,1,1,NA
"2904",5,180,3,4,0,0,0,3,3,5,4,3,5,3,1,NA,4,5,3,2,2,2,3,2,4,3,2,3,2,4,2,2,2,2,1,4
"2905",5,180,2,0,0,0,NA,2,3,4,NA,0,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"2906",1,NA,3,6,1,4,5,NA,0,10,6,3,5,5,1,NA,5,2,4,2,2,1,5,2,4,1,4,3,1,5,3,1,2,2,2,5
"2907",1,NA,1,1,1,1,1,NA,1,9,6,8,2,4,NA,NA,3,3,3,3,1,1,1,1,4,3,1,1,1,5,1,2,1,1,1,1
"2908",1,NA,3,5,3,5,5,2,7,8,5,5,4,4,1,NA,5,6,1,2,2,2,2,1,6,6,2,4,2,6,2,3,3,2,2,6
"2909",2,NA,1,1,0,2,2,3,8,5,5,5,5,3,1,NA,4,5,3,3,2,3,3,4,4,3,2,3,4,5,4,3,2,2,2,4
"2910",3,NA,3,1,1,1,1,3,1,4,1,7,5,5,NA,NA,NA,4,5,6,1,5,5,2,6,5,5,3,3,5,2,2,3,3,2,5
"2911",2,NA,2,4,2,5,5,3,2,7,5,3,6,6,2,NA,4,5,3,5,3,5,4,4,5,4,3,4,3,5,2,2,2,3,2,5
"2912",2,NA,8,6,3,9,9,3,5,7,4,2,7,7,2,NA,3,2,4,3,2,4,5,4,5,5,5,6,6,6,5,6,2,NA,NA,NA
"2913",5,300,5,6,4,5,5,2,6,9,6,4,6,6,1,NA,3,5,3,3,3,3,3,4,3,3,3,3,3,4,5,3,3,3,3,3
"2914",5,NA,1,8,3,3,3,4,6,9,3,2,6,6,1,NA,2,3,2,3,2,4,3,5,NA,NA,NA,NA,NA,5,5,2,2,3,2,2
"2915",1,NA,3,3,3,6,7,3,NA,9,8,1,7,7,55,NA,5,5,2,5,2,2,2,2,6,4,4,6,2,6,2,2,2,2,2,6
"2916",1,NA,5,5,5,5,5,NA,3,9,3,0,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2917",1,NA,0,0,0,0,0,4,NA,10,NA,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2918",5,NA,0,10,NA,NA,NA,NA,NA,5,5,0,5,7,65,NA,6,1,3,1,1,1,1,1,1,5,5,1,1,5,1,5,1,1,1,4
"2919",1,NA,3,5,2,6,6,5,NA,5,3,0,7,7,NA,NA,6,6,3,3,3,2,NA,4,3,2,NA,3,NA,6,2,NA,3,NA,6,2
"2920",5,60,3,4,4,7,8,4,9,10,10,7,4,3,1,NA,2,5,3,1,2,5,2,4,2,2,2,2,2,4,3,4,1,1,1,3
"2921",1,NA,0,7,0,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2922",1,NA,3,2,1,3,3,3,3,10,3,5,6,6,1,NA,2,3,2,2,2,2,3,4,3,3,2,4,1,4,3,4,3,2,3,4
"2923",4,0,5,5,5,7,7,3,7,8,7,4,5,5,1,NA,3,4,2,2,1,3,3,1,3,3,2,3,1,3,2,2,2,2,2,4
"2924",2,NA,0,1,0,0,0,2,5,7,2,3,7,7,NA,NA,5,5,3,4,1,4,4,4,5,4,5,4,1,5,4,4,4,4,2,5
"2925",3,NA,2,8,3,3,3,3,2,8,4,3,6,6,1,NA,4,5,3,3,2,2,2,2,6,2,2,3,3,6,3,1,1,1,2,6
"2926",5,720,4,6,0,7,7,5,10,4,10,0,5,7,1,NA,3,2,1,2,1,2,2,2,2,3,3,2,2,5,1,2,1,1,1,4
"2927",3,NA,3,4,3,5,5,3,7,6,6,2,5,6,1,NA,4,4,2,2,3,3,2,3,3,1,3,3,1,3,3,2,2,3,3,3
"2928",1,NA,2,9,7,2,2,3,5,8,5,5,6,6,2,NA,3,4,2,2,1,3,4,3,3,3,2,4,1,3,3,5,2,3,2,3
"2929",5,240,4,4,4,9,NA,NA,8,10,9,3,7,2,1,NA,4,6,2,3,2,5,3,2,5,4,2,2,2,5,2,5,2,2,2,6
"2930",1,NA,1,4,2,NA,NA,5,NA,10,NA,9,5,1,NA,NA,NA,5,1,3,1,1,NA,1,6,4,NA,3,1,6,2,3,1,1,1,6
"2931",5,120,2,2,2,2,2,4,0,7,NA,3,5,6,2,NA,1,4,3,1,5,4,5,3,3,3,2,4,1,5,4,6,2,4,2,2
"2932",5,180,2,1,2,3,4,3,1,10,8,5,6,6,55,NA,3,5,3,3,2,4,3,2,4,2,2,2,1,4,2,3,1,1,2,4
"2933",5,180,4,4,4,4,4,3,5,8,8,NA,7,6,1,NA,1,3,3,3,3,4,5,4,2,2,2,2,3,3,4,5,4,1,3,2
"2934",2,NA,2,9,2,5,10,4,8,8,6,4,5,6,1,NA,NA,5,3,4,6,3,4,4,2,3,2,4,3,5,3,3,2,3,2,5
"2935",5,120,6,6,6,6,6,4,9,10,10,8,5,NA,55,NA,2,3,2,3,2,3,4,2,3,1,1,2,1,3,2,1,1,2,2,3
"2936",5,120,2,8,1,10,8,1,5,8,10,3,6,6,1,NA,2,6,2,2,2,5,2,5,2,2,2,2,2,2,3,5,2,2,2,3
"2937",1,NA,3,5,3,NA,NA,NA,NA,8,NA,7,3,2,NA,NA,6,6,3,2,3,3,5,3,6,3,2,2,2,5,2,3,2,2,2,6
"2938",5,30,0,3,0,3,NA,5,2,5,3,2,7,7,1,NA,5,4,3,4,3,3,3,2,3,4,2,5,3,4,4,4,2,3,3,4
"2939",4,80,5,5,5,4,3,NA,9,10,4,0,5,5,1,NA,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"2940",1,NA,3,3,1,6,6,3,5,10,3,1,6,7,1,NA,3,3,4,2,3,4,4,5,2,3,2,2,1,4,3,2,1,1,3,3
"2941",2,NA,1,1,0,1,1,2,10,10,5,2,5,7,NA,NA,3,4,2,2,4,4,3,5,3,2,2,1,3,2,3,2,1,1,2,2
"2942",1,NA,4,3,4,5,5,NA,6,6,6,5,5,4,1,NA,5,5,2,5,1,1,1,1,5,5,3,4,1,5,1,1,1,2,2,5
"2943",1,NA,2,0,0,NA,NA,3,7,10,0,1,7,7,1,NA,6,6,2,4,4,3,3,5,5,2,3,4,NA,5,3,3,2,4,2,5
"2944",5,120,0,1,0,4,NA,2,8,6,6,3,5,6,2,NA,3,3,3,2,2,5,3,4,3,2,2,2,2,4,4,3,2,3,3,3
"2945",5,60,1,4,1,2,2,1,4,10,5,5,6,5,1,NA,2,5,1,1,1,3,2,2,3,2,2,2,1,2,2,2,2,1,2,3
"2946",1,NA,0,0,0,0,0,NA,1,10,9,7,4,1,1,NA,3,3,1,1,2,2,4,4,4,4,2,2,1,4,3,4,2,1,1,1
"2947",1,NA,6,7,5,6,7,4,NA,9,7,6,5,4,1,NA,5,5,3,3,3,2,4,4,5,2,3,NA,3,6,2,2,3,3,2,5
"2948",5,300,4,5,4,8,2,3,5,9,7,1,7,7,1,NA,5,4,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,4
"2949",1,NA,1,1,1,1,1,4,6,9,2,5,5,5,NA,NA,4,3,3,4,6,5,6,5,3,2,2,4,3,4,2,3,3,3,6,5
"2950",1,NA,5,5,5,5,3,NA,5,9,2,1,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2951",5,180,4,2,3,3,3,2,4,6,4,1,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5
"2952",5,480,2,4,2,9,5,1,1,10,10,7,3,3,1,NA,1,3,1,1,NA,1,1,3,3,1,2,1,1,2,3,2,1,1,1,4
"2953",2,NA,3,3,2,1,1,4,3,4,2,3,6,6,55,NA,4,3,5,5,2,NA,NA,6,3,3,3,3,2,5,6,6,2,2,2,2
"2954",5,300,0,0,0,0,0,3,0,7,0,0,7,7,2,NA,3,3,3,1,1,2,4,4,2,2,2,2,1,3,3,3,1,1,3,2
"2955",1,NA,5,5,5,5,5,2,0,10,5,NA,NA,NA,NA,NA,2,5,2,2,2,2,NA,2,NA,2,2,NA,2,2,2,2,2,2,2,5
"2956",5,60,0,0,0,0,0,3,8,8,9,6,4,4,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2
"2957",5,120,1,0,1,NA,NA,5,NA,7,7,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2958",5,360,1,1,1,1,4,4,1,9,6,4,6,6,2,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"2959",4,180,1,0,0,1,1,5,4,5,2,2,6,7,2,NA,6,6,2,4,5,6,6,4,5,3,4,3,4,5,4,5,4,5,5,5
"2960",1,NA,3,8,2,NA,NA,4,5,9,8,7,7,2,55,NA,4,6,2,4,2,4,4,3,6,4,2,3,3,6,3,3,2,3,2,6
"2961",1,NA,0,0,0,0,0,3,NA,5,2,1,6,6,55,NA,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2962",5,360,NA,10,1,2,6,NA,4,10,5,6,4,4,NA,NA,4,4,3,2,4,3,2,1,4,4,3,3,2,2,2,2,3,1,1,4
"2963",1,NA,0,9,1,3,NA,2,2,6,2,4,5,7,2,NA,4,6,2,4,4,3,3,3,5,3,5,5,6,6,6,3,2,2,3,NA
"2964",5,120,1,4,0,8,8,3,6,7,7,5,4,4,1,NA,2,5,2,3,4,2,2,4,3,2,4,4,2,2,4,4,3,3,3,2
"2965",1,NA,3,4,4,NA,NA,NA,4,7,NA,7,5,4,55,NA,5,NA,3,2,3,3,3,3,5,4,3,3,2,6,1,NA,3,2,1,6
"2966",5,180,5,5,5,5,5,5,5,10,8,5,4,4,1,NA,4,1,1,1,1,3,3,1,5,5,1,1,1,5,1,5,1,1,1,1
"2967",1,NA,2,5,2,9,9,3,3,9,9,7,4,6,1,NA,4,4,3,2,2,4,3,3,5,3,2,2,3,5,2,2,2,2,2,5
"2968",5,120,0,0,0,0,0,NA,0,5,5,4,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,4,4,3,3,3,2,3,2,3
"2969",1,NA,3,6,2,2,2,3,5,10,0,4,5,5,2,NA,5,5,4,3,2,3,3,2,4,4,3,2,4,4,3,2,2,2,2,4
"2970",5,60,NA,NA,NA,NA,NA,1,NA,9,NA,6,5,5,1,NA,NA,NA,NA,NA,3,6,5,6,4,1,3,2,1,NA,3,3,2,3,4,4
"2971",2,NA,2,3,0,3,3,2,5,8,6,3,5,6,1,NA,3,3,3,3,2,3,2,2,3,3,2,3,2,3,2,2,2,1,1,3
"2972",4,0,5,4,5,8,NA,2,8,9,7,4,5,4,1,NA,2,4,2,2,2,2,3,3,4,1,3,3,1,3,2,3,3,3,3,3
"2973",1,NA,1,4,3,6,4,3,5,8,7,3,5,5,1,NA,4,4,2,2,2,2,2,2,5,2,2,2,2,5,2,2,2,2,2,5
"2974",5,90,3,4,3,3,3,1,8,8,8,1,NA,NA,1,NA,3,5,3,2,3,2,2,3,3,3,2,2,1,5,2,3,1,1,2,4
"2975",5,150,3,3,3,3,3,3,5,6,4,3,5,3,55,NA,1,2,5,NA,2,2,2,2,4,2,2,2,2,4,3,4,2,2,2,2
"2976",5,NA,NA,4,NA,NA,NA,2,NA,3,5,6,5,1,55,NA,1,2,3,1,4,5,4,5,1,1,1,1,5,1,5,1,1,1,2,1
"2977",3,NA,0,0,0,1,1,3,0,2,2,5,5,2,1,NA,2,5,1,3,1,5,5,1,5,4,2,2,1,6,1,1,1,NA,1,2
"2978",5,300,5,1,5,5,5,2,NA,5,0,0,7,7,1,NA,5,5,NA,4,4,4,4,3,5,3,2,3,NA,5,3,3,2,4,4,5
"2979",2,NA,3,3,3,3,3,4,NA,5,3,3,5,6,1,NA,NA,5,NA,6,2,6,NA,NA,3,5,4,4,2,4,3,3,3,2,4,4
"2980",5,480,5,5,7,9,6,1,0,8,10,0,5,5,1,NA,6,2,3,2,2,2,3,3,3,1,3,NA,1,4,2,NA,2,2,2,4
"2981",1,NA,5,7,5,7,10,5,1,10,7,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2982",5,720,3,4,2,1,2,2,2,6,3,5,5,7,1,NA,1,3,2,2,3,3,4,5,2,2,3,2,2,4,5,3,2,2,3,2
"2983",5,0,1,2,1,3,3,3,8,8,6,3,7,7,1,NA,3,5,1,1,1,2,2,2,3,4,3,4,1,4,1,1,1,2,2,3
"2984",1,NA,0,1,0,2,1,3,NA,6,4,4,5,6,NA,NA,5,5,4,4,1,3,3,3,5,5,3,5,1,5,4,3,3,3,3,5
"2985",5,450,4,4,4,2,4,3,5,5,4,0,7,7,33,NA,3,2,3,2,3,3,2,3,4,3,2,4,6,5,3,2,3,2,3,2
"2986",3,NA,4,5,2,3,3,2,6,8,8,1,7,7,1,NA,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,NA,2,2,3
"2987",1,NA,2,2,2,2,2,3,4,4,4,3,6,6,NA,NA,5,5,5,5,5,5,5,5,5,2,2,5,1,6,1,6,1,1,1,6
"2988",5,0,2,5,5,5,5,2,5,10,6,5,7,6,2,NA,3,5,2,2,2,2,2,4,4,1,1,3,2,5,2,4,1,1,1,4
"2989",1,NA,5,5,5,5,5,NA,NA,5,0,5,5,5,NA,NA,1,3,1,1,1,2,1,3,5,1,1,1,1,2,2,2,1,1,2,5
"2990",5,NA,4,6,4,8,6,1,NA,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2991",1,NA,0,0,0,0,0,NA,NA,0,0,0,7,7,2,NA,NA,NA,NA,NA,1,1,1,1,5,5,1,1,1,5,1,1,1,1,1,5
"2992",5,60,0,0,0,0,0,4,7,9,6,6,4,7,1,NA,3,3,2,2,2,3,3,3,5,3,2,3,2,5,2,2,2,3,2,5
"2993",1,NA,3,2,2,2,2,NA,NA,2,0,5,5,7,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2994",2,NA,7,7,7,7,7,2,10,10,10,10,6,6,1,NA,3,5,3,2,2,3,2,2,3,2,2,3,2,2,1,1,3,2,3,3
"2995",3,NA,1,9,5,6,5,1,8,10,5,6,6,NA,1,NA,3,6,6,1,1,2,4,6,3,2,2,2,2,3,3,6,1,1,1,3
"2996",5,83,4,4,4,3,2,NA,4,10,7,0,5,7,1,NA,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"2997",5,600,3,5,3,5,4,2,5,9,7,5,5,5,1,NA,4,6,3,4,6,3,6,4,6,3,3,4,4,5,4,3,2,2,2,4
"2998",5,240,4,10,2,5,5,3,7,10,3,1,5,6,1,NA,3,5,3,2,2,2,2,2,1,1,1,4,2,2,2,2,1,2,3,2
"2999",5,NA,2,6,0,0,0,3,5,9,3,6,5,5,1,NA,4,4,3,4,3,3,4,2,4,3,4,3,2,4,3,3,3,2,NA,4
"3000",5,NA,5,5,5,2,1,2,1,9,5,1,7,6,1,NA,1,1,5,1,5,6,5,6,2,1,3,1,3,1,4,1,1,1,2,2
"3001",5,150,4,3,3,7,8,3,7,8,8,2,6,7,1,NA,6,5,4,4,2,5,5,4,2,2,3,3,2,4,4,4,3,2,2,2
